DEPTH,PHIE,SWE,VSH,PERM_TIM,GR,CALI,RHOB,ILD,NPHI
3282.5436,0.033,0.384,0.431,0.003,63.03469849,12.31120014,2.285000086,1.927899957,30.0067997
3283.1532,0.012,0.419,0.396,0.0,61.42340088,12.63199997,2.309099913,1.927000046,33.7378006
3283.3056,0.035,0.453,0.357,0.003,59.53319931,12.40170002,2.27760005,1.966699958,30.34289932
3283.458,0.042,0.44,0.363,0.008,59.81399918,12.33430004,2.269200087,1.988899946,29.24349976
3283.6104,0.03,0.365,0.425,0.002,62.7765007,12.31809998,2.288500071,2.059299946,29.09280014
3283.7628,0.012,0.274,0.559,0.0,68.19360352,12.33530045,2.3197999,2.089299917,29.8416996
3284.3724,0.015,0.13,0.957,0.0,79.57189941,12.48060036,2.332600117,2.569099903,29.44829941
3284.5248,0.004,1,0.893,0.0,78.05580139,12.33790016,2.344000101,2.718600035,27.34149933
3284.6772,0,1,0.895,0.0,78.09249878,12.35830021,2.359499931,2.764499903,26.49869919
3284.8296,0,1,0.941,0.0,79.19309998,12.36489964,2.390399933,2.898699999,26.43689919
3320.9484,0,1,1.0,0.0,91.96970367,12.57549954,2.319200039,11.91279984,30.57209969
3321.1008,0,1,1.0,0.0,86.10079956,12.46450043,2.316499949,13.0326004,29.56139946
3321.2532,0,1,1.0,0.0,81.88040161,12.37349987,2.301399946,19.11199951,28.6942997
3321.4056,0,1,1.0,0.0,78.95379639,12.30379963,2.291300058,20.81200028,28.65940094
3321.558,0,1,0.945,0.0,76.15859985,12.38389969,2.272200108,27.58370018,28.21100044
3322.1676,0,1,0.073,0.0,41.8728981,12.28670025,2.176500082,81.05599976,14.61540031
3322.32,0.038,0.138,0.025,0.005,36.34769821,12.31089973,2.10649991,91.55930328,14.79930019
3322.4724,0.04,1,0.0,0.007,32.11640167,12.32750034,2.092400074,99.41130066,13.50199986
3322.6248,0.024,1,0.0,0.001,29.25930023,12.34150028,2.103199959,95.09780121,12.97179985
3322.7772,0.017,1,0.0,0.0,27.67959976,12.3682003,2.10649991,89.07109833,13.50230026
3323.3868,0,1,0.0,0.0,26.73800087,12.33040047,2.17750001,90.17340088,13.32600021
3323.5392,0,1,0.0,0.0,26.01819992,12.31099987,2.170700073,94.64790344,13.38479996
3323.6916,0,1,0.0,0.0,25.42950058,12.3114996,2.16140008,95.30130005,13.93260002
3323.844,0,1,0.0,0.0,25.13890076,12.31200028,2.126199961,92.91470337,14.65939999
3323.9964,0.018,1,0.0,0.0,25.69389916,12.31260014,2.101099968,93.03209686,15.10630035
3324.606,0.04,1,0.0,0.006,29.98660088,12.29469967,2.08739996,98.61260223,15.62049961
3324.7584,0.033,1,0.0,0.003,29.95770073,12.15610027,2.094799995,89.99030304,16.48209953
3324.9108,0.02,1,0.0,0.0,30.5618,12.17650032,2.110800028,74.89849854,16.73699951
3325.0632,0.015,1,0.0,0.0,32.40940094,12.19690037,2.121799946,37.08879852,17.09609985
3325.2156,0.017,1,0.01,0.0,34.1556015,12.21730042,2.123800039,20.52630043,17.4552002
3325.8252,0,1,0.13,0.0,47.06010056,12.25909996,2.226799965,11.33740044,18.89209938
3326.13,0,1,0.346,0.0,59.46049881,12.25559998,2.279099941,11.72529984,24.38929939
3326.2824,0,1,0.528,0.0,66.1187973,12.28050041,2.395100117,12.47550011,25.95750046
3326.4348,0,1,0.791,0.0,72.98870087,12.34060001,2.42930007,15.56669998,27.97809982
3327.0444,0,1,0.138,0.0,47.67259979,12.92990017,2.189199925,68.29679871,18.62269974
3327.1968,0,1,0.059,0.0,40.41770172,12.28359985,2.193200111,89.4885025,13.88210011
3327.5016,0,1,0.033,0.0,37.41070175,12.25500011,2.177299976,105.7090988,13.03349972
3327.654,0,1,0.052,0.0,39.64429855,12.2428999,2.171200037,102.2913971,13.45470047
3328.2636,0.002,1,0.003,0.0,33.19139862,12.1281004,2.138000011,129.1130066,13.78789997
3328.416,0,1,0.0,0.0,31.9116993,12.12860012,2.144900084,126.0503006,13.70559979
3328.5684,0.002,1,0.0,0.0,30.22220039,12.12909985,2.130300045,125.3010025,13.52420044
3328.7208,0.015,1,0.0,0.0,29.35160065,12.14949989,2.113699913,126.4810028,13.40289974
3328.8732,0.026,1,0.0,0.001,29.2689991,12.16989994,2.101300001,124.2230988,13.68420029
3329.4828,0.064,0.123,0.04,0.054,38.24900055,12.15219975,2.081399918,64.27709961,18.26070023
3329.6352,0.063,0.249,0.021,0.05,35.80580139,12.17469978,2.076400042,59.25170136,16.11330032
3329.7876,0.063,0.5,0.01,0.048,34.13240051,12.19299984,2.072499991,61.29990006,15.74590015
3329.94,0.056,0.796,0.005,0.028,33.49900055,12.15369988,2.078799963,62.03210068,14.84160042
3330.0924,0.038,1,0.0,0.005,32.60950089,12.11369991,2.096600056,60.8370018,14.95300007
3330.2448,0.023,1,0.002,0.0,32.88750076,12.10760021,2.114099979,54.19739914,16.43460083
3330.702,0.004,1,0.064,0.0,40.94250107,12.23950005,2.155699968,48.37850189,19.93180084
3330.8544,0.017,0.084,0.069,0.0,41.46170044,12.24499989,2.142699957,55.3431015,18.9416008
3331.0068,0.052,0.115,0.053,0.02,39.78979874,12.23670006,2.099400044,52.05749893,17.37590027
3331.1592,0.052,0.144,0.048,0.021,39.22729874,12.23719978,2.097899914,45.82910156,16.26569939
3331.464,0.041,0.112,0.095,0.007,44.0163002,12.25809956,2.123100042,30.1833992,18.19930077
3331.9212,0.048,0.341,0.054,0.015,39.92819977,12.25969982,2.103800058,17.11770058,17.58230019
3332.0736,0.029,0.413,0.053,0.001,39.72689819,12.24030018,2.125299931,14.6491003,17.5557003
3332.226,0.008,0.308,0.078,0.0,42.45819855,12.2407999,2.155100107,13.24120045,19.76749992
3332.3784,0,1,0.125,0.0,46.63050079,12.26119995,2.188299894,13.06070042,21.12199974
3332.5308,0,1,0.195,0.0,51.61880112,12.26169968,2.220999956,12.50249958,24.06279945
3332.6832,0,1,0.273,0.0,56.05670166,12.28209972,2.25090003,11.83899975,25.70700073
3333.1404,0,1,0.475,0.0,64.39350128,12.34329987,2.269799948,15.10529995,28.16889954
3333.2928,0,1,0.337,0.0,59.09519959,12.37180042,2.229099989,18.31430054,28.32649994
3333.4452,0.008,0.085,0.204,0.0,52.20679855,12.24489975,2.181099892,18.47299957,28.52370071
3333.5976,0,1,0.154,0.0,48.85710144,12.22819996,2.189500094,13.9623003,21.50970078
